Database import

  Current data status:
    Birds: 0
    Bands: 7
    Band Combos: 2

  Import data status:
    TODO: checking import data

Beginning import...
  Importing birds
Cue: Kahurangi, Male, 01/01/11 00:00:00, Alive
Cunning: Fiordland, Male, 01/01/06 00:00:00, Alive
Curious George: Fiordland, Male, 01/01/10 00:00:00, Alive
Curry: Waimakariri, Male, 01/01/10 00:00:00, Alive
Daffy: Waimakariri, Male, 01/01/06 00:00:00, Alive
Dahl: Kahurangi, Male, 01/01/13 00:00:00, Alive
Daisy: Aoraki, Female, , Alive
Dale: Kahurangi, Male, 01/01/10 00:00:00, Alive
Danny: Westland, Male, 01/01/08 00:00:00, Alive
Danny Boy: Waimakariri, Male, 01/01/10 00:00:00, Alive
Dante: Kahurangi, Male, 01/01/13 00:00:00, Alive
Daphne: Kahurangi, Female, 01/01/10 00:00:00, Alive
Dapple: Waimakariri, Female, 01/01/09 00:00:00, Alive
Darbeley: Mckenzie Country, Male, , Alive
Darwin: Rotoiti, Male, 01/01/98 00:00:00, Alive
Darwined: Rotoiti, Female, 10/12/12 00:00:00, Alive
Dave: Waimakariri, Male, 01/01/15 00:00:00, Alive
David: Aoraki, Male, , Alive
Davos: Wakatipu, Male, 01/01/11 00:00:00, Alive
Dawgie: Waimakariri, Male, 01/01/12 00:00:00, Alive
Dawn: Waimakariri, Female, 01/01/08 00:00:00, Alive
Decoy: Westland, Male, 01/01/06 00:00:00, Alive
Deep bite: Fiordland, Female, 01/01/07 00:00:00, Alive
Desiree: Waimakariri, Female, 01/01/12 00:00:00, Alive
Desmond: Kahurangi, Male, 01/01/11 00:00:00, Dead
Dexter: Aoraki, Male, , Alive
Diana: Aoraki, Female, , Alive
Digweed: Aoraki, Male, , Alive
Ding: Waimakariri, Female, 01/01/07 00:00:00, Alive
Dobbie: Waimakariri, Male, 01/01/14 00:00:00, Alive
Docherty: Westland, Male, 01/01/07 00:00:00, Alive
Dodger: Rotoiti, Undetermined, 01/01/96 00:00:00, Alive
Dodo: Kahurangi, Male, 01/01/10 00:00:00, Dead
Don: Rotoiti, Male, 01/01/92 00:00:00, Alive
Donald: Aoraki, Male, , Alive
Donnie: Rotoiti, Male, 01/01/12 00:00:00, Alive
Dot: Westland, Female, 01/01/08 00:00:00, Alive
Douglas: Waimakariri, Male, 01/01/11 00:00:00, Alive
Draco: Waimakariri, Male, 01/01/10 00:00:00, Alive
Drizzle: Westland, Undetermined, 01/01/14 00:00:00, Alive
Drogo: Westland, Male, 14/11/12 00:00:00, Dead
Ducky: Waimakariri, Female, 01/01/12 00:00:00, Alive
Dudley: Waimakariri, Male, 01/01/15 00:00:00, Alive
Dumper: Westland, Male, 01/01/07 00:00:00, Alive
Duncan: Westland, Male, 01/01/08 00:00:00, Alive
Dusty: Kahurangi, Male, 01/01/10 00:00:00, Alive
Dylan: Waimakariri, Male, 01/01/10 00:00:00, Alive
Dylanger: Kahurangi, Male, 01/01/05 00:00:00, Missing
Earl: Waimakariri, Undetermined, , Alive
Easter: Rotoiti, Male, 01/01/89 00:00:00, Alive
Easy as: Fiordland, Male, 01/01/06 00:00:00, Alive
Eddie: Kahurangi, Female, 01/01/10 00:00:00, Dead
